LAD18CD,LAD18NM,LAU118CD,LAU118NM,NUTS318CD,NUTS318NM,NUTS218CD,NUTS218NM,NUTS118CD,NUTS118NM,FID
E07000212,Runnymede,E07000212,Runnymede,UKJ25,West Surrey,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),50
E07000213,Spelthorne,E07000213,Spelthorne,UKJ25,West Surrey,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),51
E07000150,Corby,E07000150,Corby,UKF25,North Northamptonshire,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),52
E07000153,Kettering,E07000153,Kettering,UKF25,North Northamptonshire,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),53
E07000156,Wellingborough,E07000156,Wellingborough,UKF25,North Northamptonshire,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),54
E07000152,East Northamptonshire,E07000152,East Northamptonshire,UKF25,North Northamptonshire,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),55
E07000136,Boston,E07000136,Boston,UKF30,Lincolnshire,UKF3,Lincolnshire,UKF,East Midlands (England),56
E07000138,Lincoln,E07000138,Lincoln,UKF30,Lincolnshire,UKF3,Lincolnshire,UKF,East Midlands (England),57
E07000137,East Lindsey,E07000137,East Lindsey,UKF30,Lincolnshire,UKF3,Lincolnshire,UKF,East Midlands (England),58
E07000142,West Lindsey,E07000142,West Lindsey,UKF30,Lincolnshire,UKF3,Lincolnshire,UKF,East Midlands (England),59
E07000140,South Holland,E07000140,South Holland,UKF30,Lincolnshire,UKF3,Lincolnshire,UKF,East Midlands (England),60
E07000139,North Kesteven,E07000139,North Kesteven,UKF30,Lincolnshire,UKF3,Lincolnshire,UKF,East Midlands (England),61
E07000141,South Kesteven,E07000141,South Kesteven,UKF30,Lincolnshire,UKF3,Lincolnshire,UKF,East Midlands (England),62
E06000019,"Herefordshire, County of",E06000019,"Herefordshire, County of",UKG11,"Herefordshire, County of",UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),63
E07000236,Redditch,E07000236,Redditch,UKG12,Worcestershire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),64
E07000238,Wychavon,E07000238,Wychavon,UKG12,Worcestershire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),65
E07000237,Worcester,E07000237,Worcester,UKG12,Worcestershire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),66
E07000234,Bromsgrove,E07000234,Bromsgrove,UKG12,Worcestershire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),67
E07000239,Wyre Forest,E07000239,Wyre Forest,UKG12,Worcestershire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),68
E07000235,Malvern Hills,E07000235,Malvern Hills,UKG12,Worcestershire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),69
E07000220,Rugby,E07000220,Rugby,UKG13,Warwickshire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),70
E07000222,Warwick,E07000222,Warwick,UKG13,Warwickshire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),71
E07000221,Stratford-on-Avon,E07000221,Stratford-on-Avon,UKG13,Warwickshire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),72
E07000218,North Warwickshire,E07000218,North Warwickshire,UKG13,Warwickshire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),73
E07000219,Nuneaton and Bedworth,E07000219,Nuneaton and Bedworth,UKG13,Warwickshire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),74
E06000020,Telford and Wrekin,E06000020,Telford and Wrekin,UKG21,Telford and Wrekin,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),75
E06000051,Shropshire,E06000051,Shropshire,UKG22,Shropshire CC,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),76
E06000021,Stoke-on-Trent,E06000021,Stoke-on-Trent,UKG23,Stoke-on-Trent,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),77
E07000197,Stafford,E07000197,Stafford,UKG24,Staffordshire CC,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),78
E07000199,Tamworth,E07000199,Tamworth,UKG24,Staffordshire CC,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),79
E07000194,Lichfield,E07000194,Lichfield,UKG24,Staffordshire CC,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),80
E07000192,Cannock Chase,E07000192,Cannock Chase,UKG24,Staffordshire CC,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),81
E07000193,East Staffordshire,E07000193,East Staffordshire,UKG24,Staffordshire CC,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),82
E07000196,South Staffordshire,E07000196,South Staffordshire,UKG24,Staffordshire CC,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),83
E07000195,Newcastle-under-Lyme,E07000195,Newcastle-under-Lyme,UKG24,Staffordshire CC,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),84
E07000198,Staffordshire Moorlands,E07000198,Staffordshire Moorlands,UKG24,Staffordshire CC,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),85
E08000025,Birmingham,E08000025,Birmingham,UKG31,Birmingham,UKG3,West Midlands,UKG,West Midlands (England),86
E08000029,Solihull,E08000029,Solihull,UKG32,Solihull,UKG3,West Midlands,UKG,West Midlands (England),87
E08000026,Coventry,E08000026,Coventry,UKG33,Coventry,UKG3,West Midlands,UKG,West Midlands (England),88
E08000027,Dudley,E08000027,Dudley,UKG36,Dudley,UKG3,West Midlands,UKG,West Midlands (England),89
E08000028,Sandwell,E08000028,Sandwell,UKG37,Sandwell,UKG3,West Midlands,UKG,West Midlands (England),90
E08000030,Walsall,E08000030,Walsall,UKG38,Walsall,UKG3,West Midlands,UKG,West Midlands (England),91
E08000031,Wolverhampton,E08000031,Wolverhampton,UKG39,Wolverhampton,UKG3,West Midlands,UKG,West Midlands (England),92
E06000031,Peterborough,E06000031,Peterborough,UKH11,Peterborough,UKH1,East Anglia,UKH,East of England,93
E07000010,Fenland,E07000010,Fenland,UKH12,Cambridgeshire CC,UKH1,East Anglia,UKH,East of England,94
E07000008,Cambridge,E07000008,Cambridge,UKH12,Cambridgeshire CC,UKH1,East Anglia,UKH,East of England,95
E07000011,Huntingdonshire,E07000011,Huntingdonshire,UKH12,Cambridgeshire CC,UKH1,East Anglia,UKH,East of England,96
E07000009,East Cambridgeshire,E07000009,East Cambridgeshire,UKH12,Cambridgeshire CC,UKH1,East Anglia,UKH,East of England,97
E07000012,South Cambridgeshire,E07000012,South Cambridgeshire,UKH12,Cambridgeshire CC,UKH1,East Anglia,UKH,East of England,98
E07000200,Babergh,E07000200,Babergh,UKH14,Suffolk,UKH1,East Anglia,UKH,East of England,99
E07000202,Ipswich,E07000202,Ipswich,UKH14,Suffolk,UKH1,East Anglia,UKH,East of England,100
E07000214,Surrey Heath,E07000214,Surrey Heath,UKJ25,West Surrey,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),101
E07000215,Tandridge,E07000215,Tandridge,UKJ26,East Surrey,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),102
E07000210,Mole Valley,E07000210,Mole Valley,UKJ26,East Surrey,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),103
E07000208,Epsom and Ewell,E07000208,Epsom and Ewell,UKJ26,East Surrey,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),104
E07000211,Reigate and Banstead,E07000211,Reigate and Banstead,UKJ26,East Surrey,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),105
E07000223,Adur,E07000223,Adur,UKJ27,West Sussex (South West),UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),106
E07000224,Arun,E07000224,Arun,UKJ27,West Sussex (South West),UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),107
E07000229,Worthing,E07000229,Worthing,UKJ27,West Sussex (South West),UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),108
E07000225,Chichester,E07000225,Chichester,UKJ27,West Sussex (South West),UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),109
E07000226,Crawley,E07000226,Crawley,UKJ28,West Sussex (North East),UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),110
E07000227,Horsham,E07000227,Horsham,UKJ28,West Sussex (North East),UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),111
E07000228,Mid Sussex,E07000228,Mid Sussex,UKJ28,West Sussex (North East),UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),112
E06000044,Portsmouth,E06000044,Portsmouth,UKJ31,Portsmouth,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),113
E06000045,Southampton,E06000045,Southampton,UKJ32,Southampton,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),114
E06000001,Hartlepool,E06000001,Hartlepool,UKC11,Hartlepool and Stockton-on-Tees,UKC1,Tees Valley and Durham,UKC,North East (England),115
E06000046,Isle of Wight,E06000046,Isle of Wight,UKJ34,Isle of Wight,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),116
E07000090,Havant,E07000090,Havant,UKJ35,South Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),117
E07000087,Fareham,E07000087,Fareham,UKJ35,South Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),118
E07000088,Gosport,E07000088,Gosport,UKJ35,South Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),119
E07000086,Eastleigh,E07000086,Eastleigh,UKJ35,South Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),120
E07000091,New Forest,E07000091,New Forest,UKJ36,Central Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),121
E07000094,Winchester,E07000094,Winchester,UKJ36,Central Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),122
E07000093,Test Valley,E07000093,Test Valley,UKJ36,Central Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),123
E07000085,East Hampshire,E07000085,East Hampshire,UKJ36,Central Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),124
E07000089,Hart,E07000089,Hart,UKJ37,North Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),125
E07000092,Rushmoor,E07000092,Rushmoor,UKJ37,North Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),126
E07000084,Basingstoke and Deane,E07000084,Basingstoke and Deane,UKJ37,North Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),127
E06000035,Medway,E06000035,Medway,UKJ41,Medway,UKJ4,Kent,UKJ,South East (England),128
E07000113,Swale,E07000113,Swale,UKJ43,Kent Thames Gateway,UKJ4,Kent,UKJ,South East (England),129
E07000107,Dartford,E07000107,Dartford,UKJ43,Kent Thames Gateway,UKJ4,Kent,UKJ,South East (England),130
E07000109,Gravesham,E07000109,Gravesham,UKJ43,Kent Thames Gateway,UKJ4,Kent,UKJ,South East (England),131
E07000108,Dover,E07000108,Dover,UKJ44,East Kent,UKJ4,Kent,UKJ,South East (England),132
E07000114,Thanet,E07000114,Thanet,UKJ44,East Kent,UKJ4,Kent,UKJ,South East (England),133
E07000106,Canterbury,E07000106,Canterbury,UKJ44,East Kent,UKJ4,Kent,UKJ,South East (England),134
E07000112,Folkestone and Hythe,E07000112,Folkestone and Hythe,UKJ44,East Kent,UKJ4,Kent,UKJ,South East (England),135
E07000105,Ashford,E07000105,Ashford,UKJ45,Mid Kent,UKJ4,Kent,UKJ,South East (England),136
E07000110,Maidstone,E07000110,Maidstone,UKJ45,Mid Kent,UKJ4,Kent,UKJ,South East (England),137
E07000111,Sevenoaks,E07000111,Sevenoaks,UKJ46,West Kent,UKJ4,Kent,UKJ,South East (England),138
E07000116,Tunbridge Wells,E07000116,Tunbridge Wells,UKJ46,West Kent,UKJ4,Kent,UKJ,South East (England),139
E07000115,Tonbridge and Malling,E07000115,Tonbridge and Malling,UKJ46,West Kent,UKJ4,Kent,UKJ,South East (England),140
E06000023,"Bristol, City of",E06000023,"Bristol, City of",UKK11,"Bristol, City of",UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),141
E06000024,North Somerset,E06000024,North Somerset,UKK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),142
E06000025,South Gloucestershire,E06000025,South Gloucestershire,UKK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),143
E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,UKK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),144
E07000082,Stroud,E07000082,Stroud,UKK13,Gloucestershire,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),145
E07000079,Cotswold,E07000079,Cotswold,UKK13,Gloucestershire,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),146
E07000078,Cheltenham,E07000078,Cheltenham,UKK13,Gloucestershire,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),147
E07000081,Gloucester,E07000081,Gloucester,UKK13,Gloucestershire,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),148
E07000083,Tewkesbury,E07000083,Tewkesbury,UKK13,Gloucestershire,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),149
E07000080,Forest of Dean,E07000080,Forest of Dean,UKK13,Gloucestershire,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),150
E06000030,Swindon,E06000030,Swindon,UKK14,Swindon,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),151
E06000004,Stockton-on-Tees,E06000004,Stockton-on-Tees,UKC11,Hartlepool and Stockton-on-Tees,UKC1,Tees Valley and Durham,UKC,North East (England),152
E06000002,Middlesbrough,E06000002,Middlesbrough,UKC12,South Teesside,UKC1,Tees Valley and Durham,UKC,North East (England),153
E06000003,Redcar and Cleveland,E06000003,Redcar and Cleveland,UKC12,South Teesside,UKC1,Tees Valley and Durham,UKC,North East (England),154
E06000005,Darlington,E06000005,Darlington,UKC13,Darlington,UKC1,Tees Valley and Durham,UKC,North East (England),155
E06000047,County Durham,E06000047,County Durham,UKC14,Durham CC,UKC1,Tees Valley and Durham,UKC,North East (England),156
E06000057,Northumberland,E06000057,Northumberland,UKC21,Northumberland,UKC2,Northumberland and Tyne and Wear,UKC,North East (England),157
E08000037,Gateshead,E08000037,Gateshead,UKC22,Tyneside,UKC2,Northumberland and Tyne and Wear,UKC,North East (England),158
E08000022,North Tyneside,E08000022,North Tyneside,UKC22,Tyneside,UKC2,Northumberland and Tyne and Wear,UKC,North East (England),159
E08000023,South Tyneside,E08000023,South Tyneside,UKC22,Tyneside,UKC2,Northumberland and Tyne and Wear,UKC,North East (England),160
E08000021,Newcastle upon Tyne,E08000021,Newcastle upon Tyne,UKC22,Tyneside,UKC2,Northumberland and Tyne and Wear,UKC,North East (England),161
E08000024,Sunderland,E08000024,Sunderland,UKC23,Sunderland,UKC2,Northumberland and Tyne and Wear,UKC,North East (England),162
E07000029,Copeland,E07000029,Copeland,UKD11,West Cumbria,UKD1,Cumbria,UKD,North West (England),163
E07000026,Allerdale,E07000026,Allerdale,UKD11,West Cumbria,UKD1,Cumbria,UKD,North West (England),164
E07000027,Barrow-in-Furness,E07000027,Barrow-in-Furness,UKD11,West Cumbria,UKD1,Cumbria,UKD,North West (England),165
E07000030,Eden,E07000030,Eden,UKD12,East Cumbria,UKD1,Cumbria,UKD,North West (England),166
E07000028,Carlisle,E07000028,Carlisle,UKD12,East Cumbria,UKD1,Cumbria,UKD,North West (England),167
E07000031,South Lakeland,E07000031,South Lakeland,UKD12,East Cumbria,UKD1,Cumbria,UKD,North West (England),168
E08000003,Manchester,E08000003,Manchester,UKD33,Manchester,UKD3,Greater Manchester,UKD,North West (England),169
E08000006,Salford,E08000006,Salford,UKD34,Greater Manchester South West,UKD3,Greater Manchester,UKD,North West (England),170
E08000009,Trafford,E08000009,Trafford,UKD34,Greater Manchester South West,UKD3,Greater Manchester,UKD,North West (England),171
E08000008,Tameside,E08000008,Tameside,UKD35,Greater Manchester South East,UKD3,Greater Manchester,UKD,North West (England),172
E08000007,Stockport,E08000007,Stockport,UKD35,Greater Manchester South East,UKD3,Greater Manchester,UKD,North West (England),173
E08000010,Wigan,E08000010,Wigan,UKD36,Greater Manchester North West,UKD3,Greater Manchester,UKD,North West (England),174
E08000001,Bolton,E08000001,Bolton,UKD36,Greater Manchester North West,UKD3,Greater Manchester,UKD,North West (England),175
E08000002,Bury,E08000002,Bury,UKD37,Greater Manchester North East,UKD3,Greater Manchester,UKD,North West (England),176
E08000004,Oldham,E08000004,Oldham,UKD37,Greater Manchester North East,UKD3,Greater Manchester,UKD,North West (England),177
E08000005,Rochdale,E08000005,Rochdale,UKD37,Greater Manchester North East,UKD3,Greater Manchester,UKD,North West (England),178
E06000008,Blackburn with Darwen,E06000008,Blackburn with Darwen,UKD41,Blackburn with Darwen,UKD4,Lancashire,UKD,North West (England),179
E06000009,Blackpool,E06000009,Blackpool,UKD42,Blackpool,UKD4,Lancashire,UKD,North West (England),180
E07000128,Wyre,E07000128,Wyre,UKD44,Lancaster and Wyre,UKD4,Lancashire,UKD,North West (England),181
E07000121,Lancaster,E07000121,Lancaster,UKD44,Lancaster and Wyre,UKD4,Lancashire,UKD,North West (England),182
E07000119,Fylde,E07000119,Fylde,UKD45,Mid Lancashire,UKD4,Lancashire,UKD,North West (England),183
E07000123,Preston,E07000123,Preston,UKD45,Mid Lancashire,UKD4,Lancashire,UKD,North West (England),184
E07000126,South Ribble,E07000126,South Ribble,UKD45,Mid Lancashire,UKD4,Lancashire,UKD,North West (England),185
E07000124,Ribble Valley,E07000124,Ribble Valley,UKD45,Mid Lancashire,UKD4,Lancashire,UKD,North West (England),186
E07000122,Pendle,E07000122,Pendle,UKD46,East Lancashire,UKD4,Lancashire,UKD,North West (England),187
E07000117,Burnley,E07000117,Burnley,UKD46,East Lancashire,UKD4,Lancashire,UKD,North West (England),188
E07000120,Hyndburn,E07000120,Hyndburn,UKD46,East Lancashire,UKD4,Lancashire,UKD,North West (England),189
E07000125,Rossendale,E07000125,Rossendale,UKD46,East Lancashire,UKD4,Lancashire,UKD,North West (England),190
E07000118,Chorley,E07000118,Chorley,UKD47,Chorley and West Lancashire,UKD4,Lancashire,UKD,North West (England),191
E07000127,West Lancashire,E07000127,West Lancashire,UKD47,Chorley and West Lancashire,UKD4,Lancashire,UKD,North West (England),192
E06000007,Warrington,E06000007,Warrington,UKD61,Warrington,UKD6,Cheshire,UKD,North West (England),193
E06000049,Cheshire East,E06000049,Cheshire East,UKD62,Cheshire East,UKD6,Cheshire,UKD,North West (England),194
E06000050,Cheshire West and Chester,E06000050,Cheshire West and Chester,UKD63,Cheshire West and Chester,UKD6,Cheshire,UKD,North West (England),195
E06000006,Halton,E06000006,Halton,UKD71,East Merseyside,UKD7,Merseyside,UKD,North West (England),196
E08000011,Knowsley,E08000011,Knowsley,UKD71,East Merseyside,UKD7,Merseyside,UKD,North West (England),197
E08000013,St. Helens,E08000013,St. Helens,UKD71,East Merseyside,UKD7,Merseyside,UKD,North West (England),198
E08000012,Liverpool,E08000012,Liverpool,UKD72,Liverpool,UKD7,Merseyside,UKD,North West (England),199
E08000014,Sefton,E08000014,Sefton,UKD73,Sefton,UKD7,Merseyside,UKD,North West (England),200
E07000206,Waveney,E07000206,Waveney,UKH14,Suffolk,UKH1,East Anglia,UKH,East of England,201
E07000203,Mid Suffolk,E07000203,Mid Suffolk,UKH14,Suffolk,UKH1,East Anglia,UKH,East of England,202
E07000201,Forest Heath,E07000201,Forest Heath,UKH14,Suffolk,UKH1,East Anglia,UKH,East of England,203
E07000204,St Edmundsbury,E07000204,St Edmundsbury,UKH14,Suffolk,UKH1,East Anglia,UKH,East of England,204
E07000205,Suffolk Coastal,E07000205,Suffolk Coastal,UKH14,Suffolk,UKH1,East Anglia,UKH,East of England,205
E07000148,Norwich,E07000148,Norwich,UKH15,Norwich and East Norfolk,UKH1,East Anglia,UKH,East of England,206
E07000144,Broadland,E07000144,Broadland,UKH15,Norwich and East Norfolk,UKH1,East Anglia,UKH,East of England,207
E07000145,Great Yarmouth,E07000145,Great Yarmouth,UKH15,Norwich and East Norfolk,UKH1,East Anglia,UKH,East of England,208
E07000147,North Norfolk,E07000147,North Norfolk,UKH16,North and West Norfolk,UKH1,East Anglia,UKH,East of England,209
